id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm9898,Muthu,MOVIE,1995,G,165,"['comedy', 'drama', 'action', 'romance']",['IN'],0,7.6,3056,3.576,6.9
tm47530,Jeans,MOVIE,1998,N/A,175,"['comedy', 'drama', 'romance']",['IN'],0,6.4,3604,3.393,6.5
tm57169,Monty Python: Live at Aspen,MOVIE,1998,N/A,58,"['comedy', 'documentation']","['GB', 'US']",0,7.8,1096,2.681,6.9
tm192301,Minsara Kanavu,MOVIE,1997,G,145,"['comedy', 'romance', 'drama']",['IN'],0,6.7,1226,2.316,6.6
tm58893,Duplicate,MOVIE,1998,PG,165,"['comedy', 'action', 'crime', 'thriller']",['IN'],0,5.5,7618,4.112,6
tm110160,Avvai Shanmugi,MOVIE,1996,PG-13,160,"['drama', 'comedy']",['IN'],0,7.9,2586,2.828,7.5
tm118438,Anjaam,MOVIE,1994,N/A,137,"['romance', 'crime', 'thriller', 'drama']",['IN'],0,6.6,6532,3.806,7.1
tm424630,A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,N/A,100,"['drama', 'sport']",['US'],0,7.2,250,1.533,5.1
tm27601,Phir Bhi Dil Hai Hindustani,MOVIE,2000,PG-13,160,"['comedy', 'romance', 'drama']",['IN'],0,6.1,7610,7.778,6.6
tm203186,Children of Shatila,MOVIE,1999,N/A,50,"['documentation', 'history']",['LB'],0,8.1,78,1.635,6.7
tm128073,Bill Hicks: Relentless,MOVIE,1992,N/A,61,['comedy'],['GB'],0,,,3.822,7.8
tm7951,Tim Allen: Rewires America,MOVIE,1991,PG,30,"['comedy', 'documentation']",['US'],0,6,198,2.297,7
tm7135,Bill Hicks: One Night Stand,MOVIE,1991,NC-17,30,['comedy'],['US'],0,,,1.08,7.5
tm52083,West Beirut,MOVIE,1998,PG-13,105,"['romance', 'drama', 'comedy', 'war', 'european']","['FR', 'NO', 'LB', 'BE']",0,7.6,4221,3.308,7.3
tm340430,Govindha Govindha,MOVIE,1993,N/A,145,"['drama', 'action', 'crime']",['IN'],0,6.6,356,1.248,4
tm7032,Out of Life,MOVIE,1991,N/A,97,"['drama', 'war', 'crime', 'european']","['BE', 'FR', 'IT', 'LB']",0,6.9,376,2.481,6.2
tm256669,Gumrah,MOVIE,1993,N/A,149,"['drama', 'action', 'crime', 'thriller']",['IN'],0,6.1,795,1.763,6.7
tm64729,Sinbad: Nothin' but the Funk,MOVIE,1998,N/A,56,"['comedy', 'documentation']",['US'],0,6.3,65,1.83,5.2
tm184224,Sinbad: Afros and Bellbottoms,MOVIE,1993,PG-13,60,"['comedy', 'documentation']",['US'],0,7.8,172,3.793,5.5
tm25389,Fiza,MOVIE,2000,N/A,170,"['romance', 'action', 'crime', 'drama', 'thriller']",['IN'],0,6,4213,2.835,6.3
tm34391,Before the Flying Circus,MOVIE,2000,N/A,55,"['comedy', 'documentation']",['GB'],0,7.3,168,1.444,8.5
